time,ax,ay,az,atotal
0.010887861251831055,0.0,0.0,0.09,0.09
0.013195991516113281,-0.01,0.0,0.09,0.09
0.019737720489501953,0.01,0.0,0.1,0.1
0.030181884765625,0.01,0.0,0.09,0.09
0.03891181945800781,-0.01,0.01,0.07,0.07
0.049867868423461914,-0.03,0.01,0.08,0.08
0.060097694396972656,-0.01,-0.01,0.1,0.1
0.06952571868896484,-0.01,-0.01,0.08,0.08
0.07932782173156738,-0.02,-0.01,0.09,0.09
0.08942389488220215,-0.02,-0.01,0.12,0.12
0.09961271286010742,0.02,-0.04,0.12,0.12
0.10947179794311523,0.02,-0.02,0.08,0.08
0.11926698684692383,0.04,-0.03,0.1,0.11
0.12909698486328125,0.2,-0.16,0.15,0.29
0.13965988159179688,0.51,-0.33,0.11,0.61
0.1490309238433838,0.48,-0.28,0.08,0.56
0.15948104858398438,0.17,-0.08,0.06,0.19
0.1690077781677246,-0.06,0.03,0.08,0.1
0.17919683456420898,-0.09,0.02,0.13,0.15
0.18891096115112305,0.05,-0.07,0.12,0.14
0.19877099990844727,0.28,-0.19,0.11,0.35
0.20927000045776367,0.45,-0.27,0.09,0.53
0.21887779235839844,0.31,-0.17,0.13,0.37
0.22863483428955078,-0.34,0.18,0.09,0.39
0.2386188507080078,-1.02,0.52,0.09,1.14
0.2484738826751709,-1.19,0.63,0.05,1.34
0.25893688201904297,-0.53,0.26,-0.09,0.59
0.2685978412628174,0.17,-0.01,-0.15,0.22
0.27838802337646484,0.24,-0.04,0.11,0.26
0.2883908748626709,0.26,-0.05,0.21,0.33
0.29828500747680664,0.1,-0.13,0.23,0.28
0.30895280838012695,0.25,-0.27,0.24,0.43
0.31923675537109375,0.19,-0.22,0.24,0.37
0.3294649124145508,-0.18,0.01,0.25,0.3
0.3393669128417969,-0.3,0.06,0.29,0.42
0.3494420051574707,-0.16,0.02,0.22,0.27
0.3595118522644043,0.11,-0.06,0.01,0.12
0.36935997009277344,0.43,-0.1,-0.26,0.51
0.3791999816894531,0.67,-0.09,-0.5,0.84
0.38912081718444824,0.76,-0.06,-0.6,0.97
0.3990898132324219,0.26,0.12,-0.4,0.49
0.40937376022338867,-0.83,0.45,0.25,0.97
0.418881893157959,-1.77,0.39,1.19,2.16
0.42885589599609375,-0.72,-0.04,0.52,0.88
0.4389767646789551,0.08,0.11,-0.41,0.43
0.4488539695739746,0.21,0.07,-0.03,0.22
0.4590318202972412,0.42,-0.15,0.2,0.48
0.46870994567871094,0.25,-0.16,0.14,0.32
0.47884392738342285,-0.14,0.04,0.09,0.17
0.48860979080200195,-0.18,0.1,0.09,0.22
0.49854087829589844,-0.59,0.34,0.05,0.68
0.5088808536529541,-0.87,0.49,0.16,1.01
0.5189347267150879,-0.75,0.47,0.13,0.89
0.5283288955688477,-0.44,0.3,0.05,0.53
0.5385627746582031,0.02,-0.04,0.06,0.07
0.5484089851379395,0.37,-0.23,0.07,0.44
0.5588328838348389,0.4,-0.24,0.11,0.47
0.5682530403137207,0.22,-0.15,0.1,0.28
0.577974796295166,0.12,-0.06,0.13,0.18
0.5885908603668213,0.11,-0.07,0.1,0.16
0.5979709625244141,0.22,-0.19,0.09,0.3
0.608253002166748,0.4,-0.32,0.1,0.52
0.6179368495941162,0.53,-0.37,0.09,0.65
0.6277337074279785,0.48,-0.32,0.1,0.58
0.6380829811096191,0.0,-0.03,0.12,0.12
0.6479697227478027,-0.01,-0.01,0.11,0.11
0.6583867073059082,0.02,-0.03,0.07,0.07
0.6677680015563965,-0.01,-0.01,0.08,0.08
0.6778178215026855,0.0,-0.01,0.09,0.09
0.6878957748413086,0.0,0.0,0.08,0.08
0.6974668502807617,0.01,0.0,0.1,0.1
0.7077648639678955,0.0,0.01,0.09,0.09
0.7174777984619141,-0.01,0.0,0.09,0.09
0.7277648448944092,-0.02,0.01,0.09,0.09
0.7375638484954834,-0.01,0.02,0.09,0.09
0.7473618984222412,0.0,0.02,0.1,0.1
0.7579569816589355,-0.03,0.02,0.07,0.07
0.7675290107727051,0.0,0.0,0.07,0.07
0.7772150039672852,-0.02,-0.02,0.12,0.12
0.7874970436096191,-0.02,-0.05,0.08,0.09
0.7971408367156982,-0.02,-0.05,0.08,0.09
0.8070378303527832,0.0,-0.03,0.11,0.11
0.8170008659362793,-0.01,-0.03,0.07,0.07
0.8271229267120361,-0.01,0.0,0.08,0.08
0.8372898101806641,-0.01,0.01,0.1,0.1
0.8469078540802002,0.0,0.01,0.07,0.07
0.8570599555969238,0.0,0.01,0.1,0.1
0.8670458793640137,0.02,0.0,0.1,0.1
0.8773798942565918,-0.01,0.01,0.1,0.1
0.8868899345397949,-0.04,0.02,0.1,0.1
0.8965158462524414,-0.04,0.0,0.1,0.1
0.9068148136138916,-0.01,-0.02,0.09,0.09
0.916644811630249,-0.01,-0.01,0.1,0.1
0.926832914352417,0.0,-0.01,0.09,0.09
0.9366428852081299,-0.01,-0.01,0.09,0.09
0.946570873260498,0.0,-0.01,0.11,0.11
0.9566187858581543,0.0,-0.02,0.09,0.09
0.9665408134460449,0.01,-0.02,0.08,0.08
0.9766817092895508,-0.02,0.0,0.1,0.1
0.986386775970459,-0.04,0.01,0.09,0.09
0.9962038993835449,-0.03,0.0,0.1,0.1
1.006220817565918,-0.01,0.0,0.1,0.1
1.016453742980957,0.0,-0.01,0.11,0.11
1.0262627601623535,0.0,-0.01,0.09,0.09
1.036167860031128,0.0,0.0,0.08,0.08
1.045942783355713,-0.01,0.01,0.09,0.09
1.0560908317565918,-0.02,0.02,0.1,0.1
1.0661888122558594,-0.01,0.01,0.09,0.09
1.0762739181518555,0.0,0.0,0.09,0.09
1.0858917236328125,0.0,-0.02,0.1,0.1
1.095536708831787,-0.01,-0.01,0.1,0.1
1.1057839393615723,0.0,-0.01,0.1,0.1
1.1156120300292969,0.02,-0.03,0.1,0.1
1.1259880065917969,0.0,-0.02,0.1,0.1
1.1358699798583984,-0.04,0.01,0.09,0.09
1.1455097198486328,-0.05,0.02,0.09,0.1
1.155815839767456,-0.01,-0.01,0.09,0.09
1.1655738353729248,0.0,0.0,0.09,0.09
1.1760058403015137,-0.01,0.0,0.1,0.1
1.1855099201202393,0.0,-0.01,0.1,0.1
1.1953020095825195,-0.01,-0.01,0.09,0.09
1.205352783203125,0.0,-0.01,0.11,0.11
1.2153658866882324,-0.03,0.0,0.09,0.09
1.2256669998168945,0.02,0.0,0.07,0.07
1.2355337142944336,-0.02,0.01,0.13,0.13
1.2451179027557373,-0.02,0.0,0.08,0.08
1.2553787231445312,-0.01,-0.01,0.08,0.08
1.2654588222503662,-0.02,-0.01,0.13,0.13
1.2755298614501953,-0.02,-0.03,0.09,0.09
1.2851309776306152,0.01,-0.02,0.1,0.1
1.295386791229248,0.0,-0.02,0.12,0.12
1.3095948696136475,-0.01,-0.01,0.07,0.07
1.3148198127746582,-0.01,-0.01,0.09,0.09
1.324976921081543,-0.02,0.0,0.12,0.12
1.3350098133087158,-0.01,0.0,0.07,0.07
1.3447999954223633,-0.01,0.0,0.1,0.1
1.354722023010254,0.0,0.01,0.12,0.12
