time,ax,ay,az,atotal
0.005766868591308594,0.07,-0.08,0.03,0.11
0.012044906616210938,-0.03,-0.03,0.11,0.11
0.021821975708007812,-0.07,-0.02,0.1,0.12
0.03168296813964844,0.0,-0.02,0.05,0.05
0.04211592674255371,0.0,0.0,0.09,0.09
0.05162692070007324,-0.02,0.03,0.11,0.11
0.061772823333740234,-0.02,0.01,0.09,0.09
0.07153701782226562,0.03,0.0,0.08,0.08
0.08060789108276367,-0.05,0.04,0.1,0.11
0.09062480926513672,-0.04,0.01,0.09,0.09
0.10066485404968262,0.02,-0.03,0.07,0.07
0.1106877326965332,-0.02,-0.03,0.1,0.1
0.12057185173034668,-0.02,-0.03,0.09,0.09
0.13059687614440918,-0.01,-0.04,0.09,0.09
0.14066076278686523,-0.02,-0.03,0.09,0.09
0.15055084228515625,0.01,-0.02,0.08,0.08
0.1604769229888916,-0.02,-0.01,0.09,0.09
0.17034673690795898,-0.02,0.0,0.1,0.1
0.18041276931762695,0.01,0.0,0.08,0.08
0.1903858184814453,0.03,0.0,0.1,0.1
0.200394868850708,0.08,-0.06,0.1,0.14
0.21045994758605957,0.13,-0.08,0.09,0.17
0.22028183937072754,-0.08,0.07,0.05,0.11
0.23027372360229492,-0.24,0.15,0.1,0.3
0.24016594886779785,-0.1,0.03,0.11,0.15
0.25017285346984863,0.05,-0.03,0.06,0.08
0.2600827217102051,0.0,-0.02,0.09,0.09
0.27004575729370117,-0.06,-0.03,0.06,0.09
0.28003406524658203,0.02,-0.05,0.07,0.08
0.2901158332824707,-0.03,-0.06,0.11,0.12
0.2999577522277832,-0.06,-0.03,0.05,0.08
0.3098740577697754,-0.04,-0.05,0.13,0.14
0.32067203521728516,0.02,-0.06,0.11,0.12
0.3305850028991699,0.06,-0.06,0.04,0.09
0.3405568599700928,0.02,-0.01,0.07,0.07
0.35060596466064453,-0.03,0.03,0.11,0.11
0.3604888916015625,0.0,0.04,0.07,0.08
0.3706650733947754,0.0,0.04,0.09,0.09
0.3803720474243164,-0.04,0.05,0.1,0.11
0.39023303985595703,-0.05,0.02,0.08,0.09
0.400209903717041,0.0,-0.01,0.07,0.07
0.4105668067932129,-0.01,-0.03,0.1,0.1
0.4201078414916992,-0.02,-0.04,0.08,0.09
0.4301600456237793,0.01,-0.07,0.06,0.09
0.44005680084228516,-0.01,-0.07,0.09,0.11
0.4502220153808594,-0.04,-0.05,0.1,0.11
0.4599580764770508,-0.01,-0.04,0.09,0.09
0.4700608253479004,0.01,-0.03,0.07,0.07
0.4797699451446533,-0.03,-0.01,0.08,0.08
0.48985791206359863,-0.02,0.02,0.09,0.09
0.4998769760131836,0.01,0.02,0.08,0.08
0.5099477767944336,-0.02,0.02,0.09,0.09
0.5197539329528809,-0.02,0.01,0.09,0.09
0.5296368598937988,0.0,0.01,0.08,0.08
0.5396547317504883,-0.02,0.0,0.08,0.08
0.549583911895752,-0.04,0.01,0.11,0.11
0.5597310066223145,-0.01,-0.01,0.09,0.09
0.5694558620452881,0.0,-0.01,0.08,0.08
0.5793538093566895,-0.02,-0.01,0.09,0.09
