55
5 1.5 -4
15 1.5 -4
5 18.5 -4
15 18.5 -4 
1.5 1.5 -4
1.5 18.5 -4
18.5 1.5 -4
0 5 -4
0 10 -4
0 15 -4
20 5 -4
20 10 -4
20 15 -4
5 20 -4
10 20 -4
15 20 -4
5 0 -4
10 0 -4
15 0 -4
10 10 13
2.5 2.5 -4
2.5 17.5 -4
17.5 2.5 -4
17.5 17.5 -4
1.5 10 -4
10 1.5 -4
10 18.5 -4
18.5 18.5 -4
18.5 10 -4
10 9 12
10 8 8
10 5 0
10 3.5 -2
10 16.5 -2
10 15 0
10 12 8
10 11 12
3 10 0
5 10 5
7.5 10 10
17 10 0
15 10 5
12.5 10 10
4 4 -2
7 7 5
8.5 8.5 10
16 16 -2
13 13 5
11.5 11.5 10
4 16 -2
7 13 5
8.5 11.5 10
16 4 -2
13 7 5
11.5 8.5 10
